idViaje,nombre,rut,idPasajero
1,Juan Perez,13579135-7,1
1,Ana Lopez,24682468-2,2
1,Carlos Diaz,11122333-4,3
1,Maria Soto,99887766-5,4
1,Pedro Rojas,12344321-9,5
2,Luis Torres,14253647-8,6
3,Carla Ruiz,19283746-5,7
3,Diego Flores,10293847-6,8
3,Sofia Vega,56473829-1,9
4,Andres Silva,91827364-2,10
5,Paula Castro,22334455-6,11
5,Martin Diaz,33445566-7,12
5,Jose Perez,44556677-8,13
5,Laura Mendez,55667788-9,14
6,Lucas Perez,12312312-3,15
6,Martina Diaz,23423423-4,16
6,Tomas Silva,34534534-5,17
6,Valentina Rojas,45645645-6,18
6,Benjamin Torres,56756756-7,19
7,Jose Alvarez,67867867-8,20
7,Camila Fuentes,78978978-9,21
7,Ignacio Soto,89089089-1,22
7,Florencia Vega,90190190-2,23
8,Diego Castro,11223344-5,24
8,Antonia Mendez,22334455-6,25
8,Sebastian Ruiz,33445566-7,26
8,Isidora Flores,44556677-8,27
8,Matias Herrera,55667788-9,28
